movieId,title,genres
60069,WALL·E (2008),Adventure|Animation|Children|Romance|Sci-Fi
106696,Frozen (2013),Adventure|Animation|Comedy|Fantasy|Musical|Romance
134853,Inside Out (2015),Adventure|Animation|Children|Comedy|Drama|Fantasy
152081,Zootopia (2016),Action|Adventure|Animation|Children|Comedy
1393,Jerry Maguire (1996),Drama|Romance
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
1172,Cinema Paradiso (Nuovo cinema Paradiso) (1989),Drama
1527,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance
25,Leaving Las Vegas (1995),Drama|Romance
1968,"Breakfast Club, The (1985)",Comedy|Drama
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
5989,Catch Me If You Can (2002),Crime|Drama
8529,"Terminal, The (2004)",Comedy|Drama|Romance
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
168366,Beauty and the Beast (2017),Fantasy|Romance
539,Sleepless in Seattle (1993),Comedy|Drama|Romance
1307,When Harry Met Sally... (1989),Comedy|Romance
4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy
5816,Harry Potter and the Chamber of Secrets (2002),Adventure|Fantasy
4487,Cocktail (1988),Drama|Romance
6942,Love Actually (2003),Comedy|Drama|Romance
356,Forrest Gump (1994),Comedy|Drama|Romance|War
2324,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama|Romance|War
68954,Up (2009),Adventure|Animation|Children|Drama
